nom_region,PMUN,code
Alsace,1843053,42
Aquitaine,3206137,72
Auvergne,1343964,83
Basse-Normandie,1470880,25
Bourgogne,1642440,26
Bretagne,3175064,53
Centre,2538590,24
Champagne-Ardenne,1337953,21
Corse,305674,94
Franche-Comté,1168208,43
Haute-Normandie,1832942,23
Île-de-France,11728240,11
Languedoc-Roussillon,2610890,91
Limousin,741785,74
Lorraine,2350112,41
Midi-Pyrénées,2862707,73
Nord-Pas-de-Calais,4033197,31
Pays de la Loire,3539048,52
Picardie,1911157,22
Poitou-Charentes,1760575,54
Provence-Alpes-Côte d'Azur,4889053,93
Rhône-Alpes,6174040,82
Dont Départements d'outre-mer,1838791
Guadeloupe,401554,01
Guyane,224469,03
Martinique,396404,02
Réunion,816364,04
